vertice,x,y
247,601857.727,7842583.900
248,601856.546,7842582.131
249,601876.634,7842565.930
250,601957.074,7842561.044
251,601974.515,7842552.873
252,602001.639,7842534.327
253,602025.264,7842526.735
254,602046.176,7842531.512
255,602078.412,7842556.540
256,602104.417,7842534.945
257,602107.080,7842532.032
258,602103.432,7842528.823
259,602095.009,7842521.640
260,602091.149,7842518.552
261,602080.377,7842510.979
262,602070.590,7842505.584
263,602063.602,7842502.397
264,602052.598,7842498.151
265,602031.873,7842491.585
266,602016.201,7842486.523
267,602007.053,7842483.792
268,601996.940,7842481.330
269,601990.107,7842480.108
270,601981.088,7842479.151
271,601970.489,7842479.452
272,601964.527,7842480.989
273,601958.829,7842483.913
274,601953.266,7842487.789
275,601947.800,7842491.794
276,601942.315,7842495.352
277,601936.411,7842498.570
278,601928.667,7842501.829
279,601922.138,7842503.731
280,601916.140,7842504.799
281,601911.023,7842505.226
282,601905.537,7842505.401
283,601898.697,7842505.615
284,601891.725,7842506.374
285,601887.643,7842507.374
286,601883.865,7842508.910
287,601878.807,7842512.093
288,601873.989,7842515.898
289,601867.525,7842520.859
290,601858.042,7842526.102
291,601851.418,7842527.902
292,601843.873,7842527.934
293,601839.176,7842527.393
294,601831.089,7842525.360
295,601825.212,7842522.584
296,601817.094,7842517.016
297,601809.617,7842512.670
298,601803.882,7842510.839
299,601796.363,7842509.453
300,601794.337,7842509.115
301,601786.759,7842507.795
302,601785.290,7842507.657
303,601782.769,7842508.815
304,601775.721,7842514.587
305,601767.786,7842521.551
306,601763.463,7842526.644
307,601757.153,7842537.742
308,601749.373,7842549.067
309,601745.015,7842555.778
310,601741.168,7842560.956
311,601736.639,7842565.778
312,601732.955,7842571.051
313,601705.792,7842538.865
314,601684.764,7842473.339
315,601647.450,7842350.426
316,601571.834,7842294.063
317,601543.714,7842237.736
318,601562.675,7842232.912
319,601661.228,7842213.169
320,601620.797,7842126.020
321,601534.222,7842156.079
322,601435.761,7842152.853
323,601401.930,7842080.451
324,601432.187,7842049.652
325,601460.539,7842019.106
326,601431.351,7841989.366
327,601388.329,7841983.806
328,601364.329,7841997.153
329,601361.666,7841986.818
330,601353.282,7841980.439
331,601336.509,7841974.725
332,601322.729,7841971.040
333,601321.698,7841970.293
334,601319.610,7841967.656
335,601319.302,7841967.067
336,601314.423,7841955.638
337,601307.586,7841934.183
338,601291.408,7841916.189
339,601262.149,7841897.923
340,601246.295,7841892.112
341,601228.492,7841889.203
342,601210.929,7841890.080
343,601198.324,7841892.743
344,601183.989,7841897.900
345,601168.198,7841907.256
346,601156.512,7841919.032
347,601150.061,7841930.369
348,601146.992,7841941.937
349,601146.455,7841950.004
350,601147.091,7841959.093
351,601150.528,7841973.332
352,601158.327,7841995.429
353,601160.220,7842004.164
354,601160.906,7842014.150
355,601161.565,7842027.607
356,601161.806,7842030.969
357,601163.394,7842047.612
358,601166.792,7842076.939
359,601170.322,7842110.026
360,601170.560,7842111.888
361,601164.618,7842113.561
362,601099.107,7842129.656
363,601006.745,7842129.109
364,600975.218,7842105.183
365,600963.899,7842105.062
366,600935.820,7842100.480
367,600896.325,7842110.851
368,600862.149,7842126.262
